batch_size,worker_num,prefetch_factor,AVG_data,First Batch Data Time,AVG_data_Without_FirstBatch
16,0,1,0.12570242,0.250916,0.125639781
16,1,1,0.126140559,0.365234,0.126020952
16,2,1,0.049605574,0.398222,0.049431178
16,4,1,0.013990692,0.439419,0.013777872
16,8,1,0.00165695,0.537832,0.001388728
16,16,1,0.00168587,0.665199,0.001353948
16,32,1,0.001910641,1.05682,0.001382922
32,0,1,0.258316584,0.374312,0.258258557
32,1,1,0.260316938,0.518764,0.260187649
32,2,1,0.120802526,0.595221,0.120565198
32,4,1,0.043931023,0.65096,0.043627357
32,8,1,0.003676687,0.754883,0.003300896
32,16,1,0.002159237,0.756084,0.001782086
32,32,1,0.002351455,1.019867,0.001842443
64,0,1,0.5547367,0.712088,0.554657985
64,1,1,0.51929346,0.840595,0.519132729
64,2,1,0.200820249,0.741169,0.200549939
64,4,1,0.080158809,0.921574,0.079737891
64,8,1,0.009498583,1.167482,0.008919302
64,16,1,0.00379106,1.09296,0.003246203
64,32,1,0.004013135,1.424645,0.003302464
128,0,1,0.979317924,1.044939,0.979285097
128,1,1,1.01537074,1.307292,1.015224706
128,2,1,0.415831009,1.361104,0.415358136
128,4,1,0.171851354,1.800534,0.171036605
128,8,1,0.035223025,1.526798,0.034476865
128,16,1,0.007155798,1.817565,0.006250141
128,32,1,0.007921811,3.26895,0.006290481
256,0,1,2.169599543,2.269308,2.169549664
256,1,1,2.421618227,2.68465,2.421486645
256,2,1,0.978216287,2.534156,0.977437928
256,4,1,0.333112899,2.751638,0.331903032
256,8,1,0.074247143,3.950691,0.072307951
256,16,1,0.014230262,3.862754,0.012305037
256,32,1,0.015308593,3.525628,0.013552555
512,0,1,4.255721262,4.332934,4.255682636
512,1,1,4.323619921,4.892629,4.323335274
512,2,1,1.958114392,4.938976,1.956623216
512,4,1,0.767801966,5.723648,0.765322803
512,8,1,0.14355598,7.120617,0.140065705
512,16,1,0.027837908,7.28935,0.024205336
512,32,1,0.030160332,7.55046,0.026398301
