model,batchsize,blocknum,threadnum,SMACT,SMOCC,DRAMA,GPU_Util,index
mobilenet_v2,32,1,32,0.513492,0.271385,0.287818,91.7643,mean
mobilenet_v2,32,1,32,0.834,0.514,0.595,94,95th
mobilenet_v2,32,1,32,0.864,0.549,0.645,94,99th
resnet18,64,2,32,0.604517,0.224198,0.308842,92.0357,mean
resnet18,64,2,32,0.927,0.437,0.55,96,95th
resnet18,64,2,32,0.935,0.455,0.577,96,99th
mobilenet_v2,16,1,32,0.404802,0.201256,0.206077,80.6928,mean
mobilenet_v2,16,1,32,0.728,0.347,0.372,87,95th
mobilenet_v2,16,1,32,0.776,0.369,0.399,88,99th
resnet18,32,1,32,0.506812,0.187781,0.256334,90.7574,mean
resnet18,32,1,32,0.775,0.304,0.407,94,95th
resnet18,32,1,32,0.85,0.334,0.462,95,99th
shufflenet_v2_x1_0,128,4,32,0.505955,0.244912,0.293493,91.1551,mean
shufflenet_v2_x1_0,128,4,32,0.884,0.464,0.617,96,95th
shufflenet_v2_x1_0,128,4,32,0.904,0.49,0.656,97,99th
resnet50,16,1,32,0.652286,0.26457,0.311465,92.3885,mean
resnet50,16,1,32,0.902,0.394,0.508,95,95th
resnet50,16,1,32,0.911,0.405,0.541,95,99th
mobilenet_v2,128,4,32,0.696955,0.392752,0.431577,94.7324,mean
mobilenet_v2,128,4,32,0.95,0.623,0.754,100,95th
mobilenet_v2,128,4,32,0.976,0.703,0.791,100,99th
shufflenet_v2_x1_0,64,2,32,0.41053,0.194107,0.219085,86.4777,mean
shufflenet_v2_x1_0,64,2,32,0.743,0.353,0.42,93,95th
shufflenet_v2_x1_0,64,2,32,0.807,0.379,0.441,95,99th
resnet18,256,4,32,0.70271,0.291006,0.349976,93.9595,mean
resnet18,256,4,32,0.961,0.518,0.655,100,95th
resnet18,256,4,32,0.999,0.845,0.724,100,99th
resnet50,128,4,32,0.838759,0.379576,0.458251,96.9417,mean
resnet50,128,4,32,0.962,0.566,0.678,100,95th
resnet50,128,4,32,0.972,0.63,0.705,100,99th
resnet50,64,2,32,0.767976,0.329646,0.408164,96.154,mean
resnet50,64,2,32,0.944,0.47,0.645,100,95th
resnet50,64,2,32,0.952,0.496,0.695,100,99th
resnet18,128,4,32,0.697492,0.278894,0.357873,92.3117,mean
resnet18,128,4,32,0.946,0.512,0.593,94,95th
resnet18,128,4,32,0.962,0.613,0.675,94,99th
mobilenet_v2,256,4,32,0.719503,0.410093,0.456665,95.7455,mean
mobilenet_v2,256,4,32,0.973,0.69,0.78,100,95th
mobilenet_v2,256,4,32,0.998,0.782,0.818,100,99th
mobilenet_v2,64,2,32,0.620459,0.337995,0.368288,93.3269,mean
mobilenet_v2,64,2,32,0.914,0.586,0.722,96,95th
mobilenet_v2,64,2,32,0.935,0.637,0.765,96,99th
resnet18,16,1,32,0.463836,0.169196,0.226327,86.4056,mean
resnet18,16,1,32,0.586,0.233,0.308,90,95th
resnet18,16,1,32,0.655,0.246,0.339,91,99th
resnet50,32,1,32,0.703022,0.299782,0.357832,95.0667,mean
resnet50,32,1,32,0.923,0.45,0.59,97,95th
resnet50,32,1,32,0.929,0.481,0.633,97,99th
resnet50,256,4,32,0.857397,0.390397,0.473745,97.5487,mean
resnet50,256,4,32,0.986,0.671,0.732,100,95th
resnet50,256,4,32,0.993,0.835,0.824,100,99th
shufflenet_v2_x1_0,256,4,32,0.513786,0.256128,0.313233,93.2947,mean
shufflenet_v2_x1_0,256,4,32,0.929,0.515,0.672,99,95th
shufflenet_v2_x1_0,256,4,32,0.944,0.54,0.713,100,99th
shufflenet_v2_x1_0,16,1,32,0.1318,0.0494265,0.0478086,55.7966,mean
shufflenet_v2_x1_0,16,1,32,0.257,0.108,0.115,63,95th
shufflenet_v2_x1_0,16,1,32,0.273,0.115,0.119,66,99th
shufflenet_v2_x1_0,32,1,32,0.242515,0.101032,0.109264,78.1445,mean
shufflenet_v2_x1_0,32,1,32,0.479,0.214,0.244,83,95th
shufflenet_v2_x1_0,32,1,32,0.555,0.244,0.275,84,99th
