batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
16,8,1,1,0.019936323165893555,1.2477617263793945
16,8,1,2,0.0012633800506591797,0.08243560791015625
16,8,1,3,0.001392364501953125,0.0665898323059082
16,8,1,4,0.0017442703247070312,0.06907343864440918
16,8,1,5,0.0017337799072265625,0.06966209411621094
16,8,1,6,0.001973390579223633,0.06901264190673828
16,8,1,7,0.0016477108001708984,0.07124710083007812
16,8,1,8,0.0016613006591796875,0.07138419151306152
16,8,1,9,0.0016655921936035156,0.07163429260253906
16,8,1,10,0.0016887187957763672,0.07265281677246094
16,8,1,11,0.0016396045684814453,0.07110166549682617
16,8,1,12,0.0017027854919433594,0.07217836380004883
16,8,1,13,0.0016279220581054688,0.07161235809326172
16,8,1,14,0.001682281494140625,0.07170581817626953
16,8,1,15,0.0016427040100097656,0.07238912582397461
16,8,1,16,0.0016489028930664062,0.06828737258911133
16,8,1,17,0.0016553401947021484,0.06898045539855957
16,8,1,18,0.0016200542449951172,0.07296204566955566
16,8,1,19,0.0016355514526367188,0.07075810432434082
16,8,1,20,0.0016016960144042969,0.07230663299560547
16,8,1,21,0.0016329288482666016,0.07129597663879395
16,8,1,1,0.02068805694580078,1.185988426208496
16,8,1,2,0.0012056827545166016,0.0804738998413086
16,8,1,3,0.0013685226440429688,0.06709694862365723
16,8,1,4,0.001756429672241211,0.07025837898254395
16,8,1,5,0.0016818046569824219,0.07113099098205566
16,8,1,6,0.0019648075103759766,0.07082819938659668
16,8,1,7,0.0016701221466064453,0.07391715049743652
16,8,1,8,0.0016694068908691406,0.07134819030761719
16,8,1,9,0.0016527175903320312,0.06977701187133789
16,8,1,10,0.0016701221466064453,0.07083940505981445
16,8,1,11,0.0016658306121826172,0.0699465274810791
16,8,1,12,0.0016531944274902344,0.07046914100646973
16,8,1,13,0.0016660690307617188,0.07131505012512207
16,8,1,14,0.0016331672668457031,0.0718080997467041
16,8,1,15,0.0016453266143798828,0.07279253005981445
16,8,1,16,0.0016448497772216797,0.07215094566345215
16,8,1,17,0.0016164779663085938,0.07210755348205566
16,8,1,18,0.0016391277313232422,0.07145166397094727
16,8,1,19,0.0016245841979980469,0.0708456039428711
16,8,1,20,0.0016508102416992188,0.07056069374084473
16,8,1,21,0.0016942024230957031,0.07050848007202148
16,8,1,1,0.020907878875732422,1.20650315284729
16,8,1,2,0.0013608932495117188,0.08004474639892578
16,8,1,3,0.001394510269165039,0.06411004066467285
16,8,1,4,0.0017597675323486328,0.07092738151550293
16,8,1,5,0.0017158985137939453,0.07202458381652832
16,8,1,6,0.0020308494567871094,0.07198596000671387
16,8,1,7,0.0017054080963134766,0.07179665565490723
16,8,1,8,0.0017061233520507812,0.07086873054504395
16,8,1,9,0.0016703605651855469,0.07242345809936523
16,8,1,10,0.001710653305053711,0.07242608070373535
16,8,1,11,0.0016896724700927734,0.07253336906433105
16,8,1,12,0.0016427040100097656,0.07029080390930176
16,8,1,13,0.0016858577728271484,0.07077813148498535
16,8,1,14,0.0016591548919677734,0.07059836387634277
16,8,1,15,0.001682281494140625,0.0725545883178711
16,8,1,16,0.0016627311706542969,0.07153582572937012
16,8,1,17,0.0016605854034423828,0.07071638107299805
16,8,1,18,0.0016474723815917969,0.07288122177124023
16,8,1,19,0.0016889572143554688,0.07233023643493652
16,8,1,20,0.0017178058624267578,0.07218551635742188
16,8,1,21,0.0016596317291259766,0.07228636741638184
