IOSize (KB),Threads,Throughput (GiB/sec),IOPS,Data_Points
0.5,1,0.00091562,1920.19431424,50
0.5,2,0.0017414,3651.9804928,50
0.5,4,0.00344804,7231.06398208,50
0.5,8,0.00668632,14022.22936064,50
0.5,16,0.013479719999999999,28269.021757439998,50
0.5,32,0.01488438,31214.80728576,50
0.5,64,0.0116505,24432.869376,50
0.5,128,0.008549919999999999,17930.481827839998,50
0.5,256,0.00037561999999999996,787.7322342399999,50
1.0,1,0.00208214,2183.28203264,50
1.0,2,0.0034424399999999997,3609.6599654399997,50
1.0,4,0.00689024,7224.94029824,50
1.0,8,0.0131898,13830.5077248,50
1.0,16,0.0269305,28238.675968,50
1.0,32,0.030686840000000003,32177.483939840004,50
1.0,64,0.023522759999999997,24665.401589759997,50
1.0,128,0.01433556,15031.92416256,50
1.0,256,0.0007570799999999999,793.8559180799999,50
2.0,1,0.0050353,2639.9473664,50
2.0,2,0.00660184,3461.26548992,50
2.0,4,0.013348420000000001,6998.416424960001,50
2.0,8,0.026535540000000003,13912.265195520002,50
2.0,16,0.05337396,27983.32674048,50
2.0,32,0.06035908,31645.54133504,50
2.0,64,0.04667254,24469.85265152,50
2.0,128,0.025751499999999997,13501.202431999998,50
2.0,256,0.00148104,776.49149952,50
4.0,1,0.012192119999999999,3196.0911052799997,50
4.0,2,0.02241116,5874.95112704,50
4.0,4,0.03987686,10453.47958784,50
4.0,8,0.06264122,16421.01997568,50
4.0,16,0.10783060000000001,28267.144806400003,50
4.0,32,0.11814656,30971.41182464,50
4.0,64,0.09131928,23938.80133632,50
4.0,128,0.047955439999999995,12571.230863359999,50
4.0,256,0.022493819999999998,5896.619950079999,50
8.0,1,0.02263226,2966.45558272,50
8.0,2,0.04172186,5468.56763392,50
8.0,4,0.08534293999999999,11186.069831679999,50
8.0,8,0.15599324,20446.34595328,50
8.0,16,0.19668986,25780.53332992,50
8.0,32,0.2128369,27896.9581568,50
8.0,64,0.16201022,21235.00355584,50
8.0,128,0.0882471,11566.7238912,50
8.0,256,0.03995892,5237.49556224,50
16.0,1,0.030800360000000002,2018.5323929600002,50
16.0,2,0.05559726,3643.62203136,50
16.0,4,0.10633438,6968.72992768,50
16.0,8,0.20628586,13519.15012096,50
16.0,16,0.35171064,23049.70850304,50
16.0,32,0.39006288,25563.16090368,50
16.0,64,0.29712868,19472.62517248,50
16.0,128,0.15661808,10264.12249088,50
16.0,254,0.072474,4749.656064,1
16.0,255,0.06342133333333333,4156.380501333333,3
16.0,256,0.06623441304347825,4340.738493217391,46
